crop,climate_zone,soil_type,last_crop_category,last_crop,season,recommendation_type,recommendation_text
картофель,северная,глинистая,овощи,озимая пшеница,весна,защита растений,Проверить посевы картофель после озимая пшеница на болезни и провести профилактическую обработку.
ячмень,северная,глинистая,овощи,кукуруза,осень,севооборот,"После кукуруза, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
рожь,континентальная,суглинок,кормовые,ячмень,осень,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после ячмень.
картофель,континентальная,супесчаная,зерновые,соя,лето,защита растений,Проверить посевы картофель после соя на болезни и провести профилактическую обработку.
рапс,континентальная,глинистая,бобовые,пар,весна,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под рапс.
гречиха,засушливая,чернозем,технические,подсолнечник,лето,защита растений,Проверить посевы гречиха после подсолнечник на болезни и провести профилактическую обработку.
рапс,континентальная,песчаная,кормовые,люцерна,весна,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под рапс.
ячмень,субтропическая,супесчаная,кормовые,овес,весна,защита растений,Проверить посевы ячмень после овес на болезни и провести профилактическую обработку.
картофель,континентальная,чернозем,овощи,кукуруза,осень,защита растений,Проверить посевы картофель после кукуруза на болезни и провести профилактическую обработку.
ячмень,континентальная,чернозем,сидераты,пар,осень,севооборот,"После пар, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
гречиха,субтропическая,супесчаная,зерновые,ячмень,весна,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под гречиха.
рожь,субтропическая,чернозем,бобовые,горох,весна,защита растений,Проверить посевы рожь после горох на болезни и провести профилактическую обработку.
овес,северная,глинистая,кормовые,пар,осень,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под овес.
подсолнечник,субтропическая,песчаная,технические,пар,лето,севооборот,"После пар, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
рапс,субтропическая,песчаная,зерновые,пар,весна,защита растений,Проверить посевы рапс после пар на болезни и провести профилактическую обработку.
кукуруза,северная,чернозем,технические,гречиха,весна,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после гречиха.
овес,северная,чернозем,технические,озимая пшеница,весна,защита растений,Проверить посевы овес после озимая пшеница на болезни и провести профилактическую обработку.
рожь,засушливая,супесчаная,технические,люцерна,осень,защита растений,Проверить посевы рожь после люцерна на болезни и провести профилактическую обработку.
рапс,засушливая,торфяная,бобовые,горох,весна,защита растений,Проверить посевы рапс после горох на болезни и провести профилактическую обработку.
кукуруза,южная,торфяная,овощи,картофель,осень,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под кукуруза.
соя,субтропическая,суглинок,бобовые,озимая пшеница,весна,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
кукуруза,субтропическая,глинистая,сидераты,многолетние травы,весна,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
кукуруза,субтропическая,глинистая,овощи,люцерна,лето,защита растений,Проверить посевы кукуруза после люцерна на болезни и провести профилактическую обработку.
рожь,южная,глинистая,кормовые,многолетние травы,лето,защита растений,Проверить посевы рожь после многолетние травы на болезни и провести профилактическую обработку.
рапс,северная,суглинок,бобовые,многолетние травы,лето,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
рожь,засушливая,супесчаная,бобовые,люцерна,лето,севооборот,"После люцерна, лучше всего сажать рожь, так как сохраняется плодородие почвы."
рапс,континентальная,торфяная,технические,озимая пшеница,весна,защита растений,Проверить посевы рапс после озимая пшеница на болезни и провести профилактическую обработку.
картофель,умеренная,торфяная,овощи,люцерна,весна,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под картофель.
овес,северная,глинистая,кормовые,ячмень,лето,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после ячмень.
подсолнечник,засушливая,супесчаная,сидераты,горох,лето,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после горох.
овес,континентальная,песчаная,кормовые,озимая пшеница,осень,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
гречиха,засушливая,торфяная,овощи,пар,лето,севооборот,"После пар, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
рапс,северная,песчаная,технические,кукуруза,весна,севооборот,"После кукуруза, лучше всего сажать рапс, так как сохраняется плодородие почвы."
рожь,северная,чернозем,сидераты,овес,лето,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под рожь.
рожь,умеренная,супесчаная,технические,люцерна,лето,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после люцерна.
соя,засушливая,чернозем,бобовые,гречиха,весна,севооборот,"После гречиха, лучше всего сажать соя, так как сохраняется плодородие почвы."
соя,южная,торфяная,технические,соя,осень,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после соя.
ячмень,континентальная,суглинок,кормовые,люцерна,весна,защита растений,Проверить посевы ячмень после люцерна на болезни и провести профилактическую обработку.
картофель,южная,песчаная,сидераты,подсолнечник,осень,обработка почвы,После подсолнечник провести глубокую вспашку и выравнивание почвы под картофель.
овес,умеренная,песчаная,зерновые,кукуруза,лето,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под овес.
гречиха,засушливая,глинистая,бобовые,горох,осень,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под гречиха.
подсолнечник,континентальная,супесчаная,технические,озимая пшеница,лето,севооборот,"После озимая пшеница, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
ячмень,умеренная,суглинок,овощи,многолетние травы,осень,севооборот,"После многолетние травы, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
гречиха,субтропическая,торфяная,бобовые,многолетние травы,лето,защита растений,Проверить посевы гречиха после многолетние травы на болезни и провести профилактическую обработку.
гречиха,северная,суглинок,кормовые,многолетние травы,весна,севооборот,"После многолетние травы, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
гречиха,засушливая,супесчаная,технические,гречиха,лето,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после гречиха.
ячмень,континентальная,супесчаная,технические,многолетние травы,лето,севооборот,"После многолетние травы, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
картофель,северная,песчаная,зерновые,соя,лето,защита растений,Проверить посевы картофель после соя на болезни и провести профилактическую обработку.
гречиха,субтропическая,супесчаная,бобовые,люцерна,лето,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под гречиха.
овес,северная,супесчаная,сидераты,кукуруза,осень,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после кукуруза.
пшеница,умеренная,чернозем,овощи,ячмень,лето,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после ячмень.
гречиха,северная,суглинок,сидераты,соя,осень,обработка почвы,После соя провести глубокую вспашку и выравнивание почвы под гречиха.
пшеница,умеренная,торфяная,зерновые,озимая пшеница,лето,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под пшеница.
рожь,субтропическая,чернозем,сидераты,ячмень,весна,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под рожь.
рапс,субтропическая,супесчаная,кормовые,кукуруза,весна,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под рапс.
соя,северная,глинистая,сидераты,ячмень,лето,защита растений,Проверить посевы соя после ячмень на болезни и провести профилактическую обработку.
соя,засушливая,супесчаная,сидераты,картофель,осень,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под соя.
ячмень,северная,чернозем,овощи,многолетние травы,осень,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
соя,северная,суглинок,овощи,ячмень,осень,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под соя.
рожь,засушливая,суглинок,сидераты,овес,весна,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под рожь.
овес,засушливая,суглинок,кормовые,горох,весна,защита растений,Проверить посевы овес после горох на болезни и провести профилактическую обработку.
